4. AI Tool Usage Experience,5.  How often do you use AI tools  to find information or solve problems? ,To what extent do you rely on AI tools for decision-making?,"7. When faced with a problem, how likely are you to rely on AI tools (e.g., ChatGPT, Copilot) instead of solving it independently?  
","8.  I treat GenAI content as a starting point and try to develop my own ideas about it.
",9. I often cross-check information provided by AI tools with other sources.  ,"10.  I am willing to accept AI recommendations without verification when I am under time pressure.
","11.  I fear that excessive reliance on AI could weaken my ability to think independently.
","12.  I am aware that using AI reduces my ability to recall previously learned information.
","13.  I recognize that my over-reliance on AI is reducing opportunities for independent problem-solving.
","14. I feel remorseful about my tendency to avoid intellectual challenges by turning to AI solutions.
","15.  I feel regretful when I realize I've become overly dependent on AI instead of developing my own thinking skills.
","16.  I experience regret after completing tasks knowing that I relied too heavily on AI rather than my own abilities.
","17.  I find AI tools help me save time when searching for information.
",18. Using generative AI tools enhances my confidence in solving problems independently.,"19. I am confident that using generative AI enhances my learning efficiency.
","20. I feel satisfied with the quality of learning I achieve when using AI tools appropriately.
","21.  My overall learning experience is enhanced when I use AI as a collaborative tool.

","22. Using generative AI tools gives me a positive emotional experience.
","23.Interacting with GenAI does not require a lot of my mental effort.
","24.  I find using AI reduces the cognitive burden of complex tasks.
","26. What is your Avg CGPA?
Your privacy is very important to us. All information you provide in this survey will be kept strictly confidential and used only for the purposes of this research. "
More than 2 years,Always,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.3
1-2 years,Always,3,5,4,4,5,4,6,5,4,4,5,5,5,4,4,6,5,3,4,3
More than 2 years,Always,4,4,4,7,4,7,4,4,1,1,1,7,5,6,5,5,5,4,5,3
More than 2 years,Always,6,7,7,3,1,5,2,4,1,1,2,7,7,5,5,7,7,6,6,3.4
More than 2 years,Always,6,6,3,6,6,7,7,3,2,3,2,7,5,7,6,7,7,1,2,3.8
More than 2 years,Always,7,7,4,4,4,5,5,5,2,2,5,5,6,7,7,7,7,7,7,3
More than 2 years,Always,3,3,4,6,2,3,5,3,1,1,1,7,3,6,3,4,4,2,6,3.23
More than 2 years,Always,2,7,5,1,1,7,7,7,7,7,7,7,7,7,1,3,1,7,7,3.6
1-2 years,Often,2,3,3,4,3,3,5,3,5,2,3,5,5,3,5,6,5,5,7,2.5
More than 2 years,Often,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.6
More than 2 years,Always,5,5,5,6,5,7,7,7,5,5,5,7,7,7,5,7,4,5,6,3
More than 2 years,Always,1,3,3,3,4,7,7,7,7,4,4,7,7,7,5,6,5,6,4,3.68
6-12 months,Always,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3.5
1-2 years,Often,4,4,4,6,6,4,4,4,6,1,1,6,4,4,6,4,4,4,4,3
1-2 years,Rarely,2,1,4,3,1,1,4,4,7,7,4,3,4,4,4,4,4,4,4,3.33
More than 2 years,Always,3,4,5,4,3,6,6,6,6,6,6,6,5,4,5,6,5,6,5,3
More than 2 years,Always,3,4,3,3,6,7,6,4,5,4,4,4,4,5,4,4,4,4,4,3.83
More than 2 years,Often,6,6,7,6,5,5,6,6,6,5,5,5,6,5,6,6,4,6,6,3.3
1-2 years,Often,6,6,6,6,6,5,5,6,4,6,4,5,4,6,4,6,7,6,6,3.5
More than 2 years,Often,4,4,4,6,2,7,6,5,4,4,4,4,4,4,4,4,4,4,4,3.66
More than 2 years,Often,6,4,5,6,6,2,4,5,5,4,4,7,6,6,6,6,6,6,6,3
More than 2 years,Often,4,4,3,7,5,7,7,7,4,5,5,7,1,7,6,7,7,5,7,2.97
More than 2 years,Always,5,5,6,6,4,6,5,3,4,2,2,5,5,5,5,5,5,4,3,3.49
More than 2 years,Often,5,3,7,7,5,7,6,6,4,4,4,7,2,7,4,6,6,2,6,3.43
1-2 years,Always,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.9
1-2 years,Sometimes,3,5,6,4,4,7,5,6,6,6,5,6,6,5,6,6,5,6,5,3.4
More than 2 years,Always,4,4,4,4,4,7,6,6,4,6,6,6,6,6,5,6,6,6,7,2.8
More than 2 years,Often,4,5,5,7,3,3,4,5,5,7,2,4,5,2,3,6,3,4,5,3.6
6-12 months,Sometimes,1,4,6,7,5,7,6,5,6,7,7,6,5,5,6,5,5,7,7,3.25
6-12 months,Rarely,5,3,6,4,6,3,4,5,7,4,2,7,3,6,3,7,2,4,5,3.18
More than 2 years,Often,6,4,7,3,5,6,5,2,2,1,1,6,6,5,4,5,5,7,6,2.9
More than 2 years,Rarely,1,1,1,4,1,7,6,7,5,4,4,6,1,1,3,1,2,4,7,3.4
More than 2 years,Often,4,6,6,7,5,5,6,6,5,5,5,7,6,6,6,6,7,6,7,3.71
6-12 months,Always,1,4,4,5,6,4,7,6,1,5,7,1,4,7,5,7,7,7,3,3
More than 2 years,Always,4,6,7,7,5,7,4,4,4,7,4,7,7,7,6,7,7,5,7,2.78
More than 2 years,Always,7,7,6,1,7,7,7,7,7,6,6,7,3,5,7,7,6,7,7,3.25
1-2 years,Often,3,4,4,4,5,6,5,4,4,5,4,6,4,5,4,5,4,4,5,3.1
More than 2 years,Always,4,4,4,4,4,6,4,4,4,6,4,6,6,6,4,6,4,6,6,3
1-2 years,Always,5,5,5,6,5,7,6,7,5,5,4,7,5,7,7,6,6,5,5,3.33
1-2 years,Often,4,2,3,4,2,4,3,3,3,3,4,5,5,3,3,5,4,2,3,3.18
More than 2 years,Often,5,5,6,6,5,6,6,6,5,4,4,7,6,5,5,7,6,6,6,3.75
6-12 months,Often,4,4,5,5,4,6,5,5,4,5,5,6,6,5,5,6,5,4,5,3.33
More than 2 years,Often,4,5,6,7,5,5,7,5,4,4,4,6,5,7,5,6,7,4,6,3.6
1-2 years,Always,5,3,5,6,5,5,5,5,6,5,5,5,4,6,5,5,5,5,6,2.92
More than 2 years,Always,5,4,5,6,4,2,3,4,4,5,5,6,6,7,6,6,6,6,5,3
More than 2 years,Always,3,3,3,3,4,7,3,3,3,6,5,6,6,6,3,6,5,5,6,3.38
6-12 months,Sometimes,5,1,2,3,4,6,4,3,4,3,5,5,4,5,3,5,7,3,5,2.9
More than 2 years,Sometimes,4,4,7,7,6,6,5,7,2,4,5,6,6,4,4,6,4,4,5,3:08
1-2 years,Sometimes,3,1,3,6,2,5,2,4,3,4,4,3,4,4,4,4,3,5,4,2.75
1-2 years,Often,4,3,7,6,1,7,5,5,5,5,5,6,4,4,3,5,4,4,5,2.85
More than 2 years,Always,6,6,7,7,5,2,4,4,2,3,2,7,4,4,5,5,4,2,4,3.5
1-2 years,Always,4,6,7,6,7,1,1,1,4,4,7,7,7,6,7,7,7,7,7,2.7
1-2 years,Often,3,2,6,6,7,7,3,7,6,5,5,7,6,7,6,6,5,7,7,3
Less than 6 months,Always,4,7,6,6,6,7,7,7,6,7,7,7,7,7,6,7,7,7,7,2.5
More than 2 years,Sometimes,5,4,3,2,1,4,7,6,5,5,7,4,1,5,3,5,3,1,6,3.54
More than 2 years,Always,4,4,6,5,1,7,6,6,4,5,7,7,5,5,5,4,5,4,3,3
1-2 years,Always,5,3,5,6,5,7,2,4,4,4,2,5,6,5,5,5,5,3,4,3.75
1-2 years,Rarely,2,2,2,6,4,4,2,4,5,5,5,7,1,5,4,4,4,6,4,3.85
More than 2 years,Often,4,5,7,7,3,7,1,2,4,4,3,7,6,6,3,7,6,1,5,3.808
More than 2 years,Often,4,5,6,3,7,6,5,5,4,3,2,7,6,5,5,6,5,6,6,2.31
1-2 years,Often,2,3,5,2,6,6,5,6,3,4,4,6,4,5,4,6,2,6,4,3.8
1-2 years,Sometimes,1,2,6,6,2,7,5,7,5,4,6,7,6,6,5,6,6,4,7,3.43
Less than 6 months,Sometimes,3,2,5,4,3,7,5,7,6,5,5,7,6,5,5,5,5,6,5,3.5
More than 2 years,Often,4,3,2,7,3,6,7,6,,5,2,6,5,6,5,6,4,1,5,3.57
6-12 months,Always,6,6,7,7,2,4,3,2,1,1,2,7,7,7,7,7,7,7,7,3.15
1-2 years,Always,4,4,4,7,1,7,6,7,6,6,6,7,6,6,5,6,5,6,6,3.6
More than 2 years,Often,1,5,5,7,5,7,5,7,1,1,1,5,5,5,1,5,4,1,5,2.7
1-2 years,Often,6,4,6,4,6,4,4,5,6,4,5,7,7,7,6,6,5,5,4,2.9
More than 2 years,Always,4,3,6,6,3,5,4,5,4,4,4,7,6,7,6,6,5,6,5,3.39
Less than 6 months,Sometimes,6,5,5,4,5,3,3,3,2,2,2,7,5,6,5,7,5,4,6,3.5
1-2 years,Often,2,4,6,6,4,6,2,4,2,2,2,6,4,4,5,6,4,6,7,3.8
1-2 years,Often,2,4,5,2,6,6,4,4,5,5,5,7,4,5,5,5,4,6,6,3.43
Less than 6 months,Sometimes,3,3,4,5,5,7,7,4,6,5,6,6,5,5,5,6,5,5,6,3.39
Less than 6 months,Always,5,4,1,1,3,1,1,2,3,3,3,1,2,2,1,2,2,2,2,3.38
More than 2 years,Often,4,4,7,7,5,7,2,2,6,6,6,6,6,7,1,6,4,7,6,3.5475
1-2 years,Always,6,6,5,6,6,5,5,4,2,4,1,7,6,6,6,5,5,6,7,3.35
1-2 years,Sometimes,4,4,3,4,1,6,5,5,6,2,4,6,1,2,3,7,3,5,5,3.37
1-2 years,Often,4,3,3,6,4,5,4,7,5,4,5,5,2,3,4,6,4,5,4,3.53
More than 2 years,Sometimes,3,7,7,5,1,4,1,7,7,7,7,7,4,6,3,5,5,1,1,3.9
More than 2 years,Sometimes,3,5,3,3,6,1,4,3,5,3,5,7,7,7,7,5,7,6,7,3
6-12 months,Often,6,5,3,5,4,1,5,7,7,2,1,7,3,2,7,7,7,4,7,3
More than 2 years,Often,3,3,4,4,4,7,7,7,7,7,7,4,4,4,4,4,4,4,4,3.07
More than 2 years,Sometimes,5,4,5,5,5,5,5,7,4,5,5,5,5,5,6,5,5,6,5,3.6
6-12 months,Sometimes,6,6,5,5,4,4,5,4,4,3,5,3,5,3,4,4,4,4,5,3.03
More than 2 years,Rarely,4,1,2,2,7,7,7,7,7,7,7,7,5,6,5,6,6,7,7,3.5
1-2 years,Always,7,7,7,1,7,7,1,1,1,1,1,7,7,7,7,7,7,7,7,3.5
6-12 months,Often,6,6,6,6,7,7,7,3,7,7,7,7,1,3,4,4,4,7,4,3.47
More than 2 years,Often,4,4,5,4,4,6,5,6,4,3,4,4,4,5,3,5,4,6,4,3.44
More than 2 years,Often,6,5,5,6,2,4,5,4,4,4,4,5,5,5,4,4,5,4,4,3.94
More than 2 years,Often,3,5,4,2,2,6,4,2,7,1,2,7,7,5,5,5,6,5,6,2.87
More than 2 years,Always,7,7,6,7,1,7,7,4,6,7,2,7,1,2,6,7,7,2,1,2.95
More than 2 years,Always,4,6,5,6,7,7,6,7,6,6,5,7,6,6,6,6,6,4,6,3.24
More than 2 years,Always,4,5,7,4,6,6,5,6,3,4,3,6,6,4,5,7,6,4,6,3.55
More than 2 years,Often,6,5,6,6,4,7,7,7,5,5,5,6,5,6,5,5,5,2,5,3.9
1-2 years,Sometimes,7,7,3,2,7,7,7,7,7,7,7,7,7,7,4,6,5,7,7,3.34
1-2 years,Always,6,6,7,7,3,4,1,6,5,4,3,7,7,7,5,6,4,6,6,3.86
More than 2 years,Often,5,5,3,5,6,6,5,6,5,6,6,6,3,5,4,5,4,6,6,3.3
More than 2 years,Always,3,4,2,3,1,1,2,2,1,1,2,3,2,4,3,6,7,4,6,3.3
More than 2 years,Often,2,4,4,4,4,5,5,5,4,4,4,3,4,3,5,5,3,4,3,3.1
More than 2 years,Always,5,5,7,5,5,7,6,7,6,6,5,6,6,5,5,6,4,6,5,2.9
More than 2 years,Often,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3.11
More than 2 years,Always,4,4,4,4,4,7,6,6,4,6,6,6,6,6,5,6,6,6,7,2.8
More than 2 years,Often,5,6,6,3,6,6,4,7,6,4,4,7,2,4,5,6,5,6,6,3.19
More than 2 years,Sometimes,3,4,5,6,5,5,6,4,5,5,5,5,5,4,2,4,4,3,3,3.41
1-2 years,Often,4,3,7,6,1,7,6,5,5,5,5,6,4,4,3,5,4,4,5,2.85
More than 2 years,Often,2,3,6,5,4,6,6,6,7,5,5,3,4,3,6,6,5,5,5,3.33
1-2 years,Sometimes,1,2,4,4,2,7,7,6,6,6,7,4,4,5,2,2,2,5,5,3
1-2 years,Often,1,7,7,7,1,7,4,6,5,6,7,7,5,7,6,7,6,1,6,3.92
Less than 6 months,Sometimes,5,4,4,6,4,6,4,5,4,4,5,6,4,5,4,4,3,6,5,3.59
1-2 years,Sometimes,1,2,4,4,2,7,7,6,7,6,7,4,4,5,2,2,2,5,5,3
1-2 years,Often,1,2,7,7,1,4,1,2,1,1,1,7,7,6,5,7,5,7,7,3
1-2 years,Often,4,4,6,6,3,7,7,7,4,4,4,5,1,1,1,1,1,4,4,3.42
1-2 years,Always,5,5,5,6,5,7,6,7,5,5,4,7,5,7,7,6,6,5,5,3.35
More than 2 years,Often,4,4,4,6,2,7,6,5,4,4,4,4,4,4,4,4,4,4,4,3.68
1-2 years,Always,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.4
1-2 years,Always,5,5,5,6,6,4,3,3,3,4,4,4,5,6,5,5,5,3,6,2.42
More than 2 years,Often,6,4,7,3,5,6,5,2,2,1,1,6,6,5,4,5,5,7,6,2.9
More than 2 years,Always,6,6,7,7,5,2,4,4,2,3,2,7,4,4,5,5,4,2,4,3.5
More than 2 years,Always,2,2,5,3,5,3,4,3,4,3,4,5,3,4,4,3,4,4,5,3.53
1-2 years,Always,2,4,6,5,3,5,4,5,2,2,4,6,5,5,5,6,4,4,5,3.72
More than 2 years,Always,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.48
1-2 years,Always,7,4,4,7,4,7,6,7,4,1,1,7,7,6,6,6,6,6,6,2.72
6-12 months,Always,5,7,3,6,7,7,4,4,1,1,4,6,6,6,7,6,4,5,5,3.25
1-2 years,Always,5,4,7,7,3,7,7,7,5,4,5,5,5,4,5,4,5,4,5,3.53
More than 2 years,Often,4,5,3,4,4,2,4,4,5,6,4,2,3,4,6,3,5,2,4,3.41
1-2 years,Often,4,5,7,6,7,2,6,5,4,4,4,7,5,7,6,6,7,3,5,3
1-2 years,Always,5,5,5,6,5,7,6,7,5,5,4,7,5,7,7,6,6,5,5,3.4
More than 2 years,Always,3,3,3,4,1,5,4,4,3,2,6,3,5,4,3,1,2,7,4,3.75
More than 2 years,Always,5,2,6,7,1,5,1,3,2,1,1,6,6,7,6,6,5,5,6,3.56
More than 2 years,Always,1,1,5,3,7,2,1,3,2,7,1,7,7,7,7,7,7,6,7,3.15
More than 2 years,Always,4,4,4,4,4,7,6,6,4,6,6,6,6,6,5,6,6,6,7,2.8
1-2 years,Often,4,2,3,4,2,4,3,3,3,3,4,5,5,3,3,5,4,2,3,3.18
More than 2 years,Always,6,6,7,7,5,2,4,4,2,3,2,7,4,4,5,5,4,2,4,3.5
More than 2 years,Always,4,5,7,4,6,6,5,6,3,4,3,6,6,4,5,7,6,4,6,3.55
More than 2 years,Always,6,7,7,3,1,5,2,4,1,1,2,7,7,5,5,7,7,6,6,3.4
1-2 years,Always,6,7,7,7,4,5,5,5,4,3,5,6,7,6,6,6,6,7,6,3.89
6-12 months,Sometimes,4,4,4,4,4,7,6,5,5,5,5,5,4,5,5,5,5,5,5,3.47
More than 2 years,Always,4,4,5,5,5,5,6,5,5,5,5,4,4,4,5,6,6,5,4,3.7
More than 2 years,Often,6,5,5,6,2,4,5,4,4,4,4,5,5,5,4,3,5,4,4,3.94
1-2 years,Always,5,5,5,6,6,4,3,3,3,4,4,4,5,6,5,5,5,3,6,2.42
More than 2 years,Always,4,5,5,5,2,6,5,4,6,4,5,6,5,5,5,5,6,5,5,3.86
More than 2 years,Always,4,4,6,6,5,7,7,7,4,4,4,6,5,4,4,4,5,5,6,3.89
Less than 6 months,Always,4,4,7,7,7,7,4,7,7,7,1,7,7,7,3,7,7,7,7,4
More than 2 years,Always,1,3,3,3,4,7,7,7,7,4,4,7,7,7,5,6,5,6,4,3.3
More than 2 years,Often,3,4,2,7,2,5,3,5,4,2,4,5,5,5,5,6,5,5,3,3.7
More than 2 years,Always,7,7,7,7,7,4,4,3,2,2,2,6,5,5,6,7,7,6,6,3.15
1-2 years,Sometimes,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,4,4,6,3.4
Less than 6 months,Sometimes,1,2,4,3,4,7,3,6,3,3,4,3,3,3,3,3,5,4,5,2.85
More than 2 years,Often,4,3,2,7,3,6,7,6,,5,2,6,5,6,5,6,4,1,5,3.57
More than 2 years,Often,3,5,4,2,2,6,4,2,7,1,2,7,7,5,5,5,6,5,6,2.87
More than 2 years,Always,4,4,5,5,5,5,6,5,5,5,5,3,4,4,5,5,6,5,4,3.7
6-12 months,Sometimes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
6-12 months,Always,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,3.5
1-2 years,Often,1,7,7,7,1,7,4,6,5,6,7,7,5,7,6,7,6,1,6,3.92
1-2 years,Sometimes,5,5,4,3,6,6,2,4,3,3,4,7,3,5,5,4,5,5,5,3.7
1-2 years,Always,7,7,7,1,7,7,1,1,1,1,1,7,7,7,7,7,7,7,7,3.5
More than 2 years,Always,4,3,2,4,4,5,4,3,4,3,4,3,2,3,4,3,4,2,3,3
More than 2 years,Often,6,5,5,6,2,4,5,4,4,4,4,5,5,5,4,4,5,4,4,3.94
6-12 months,Sometimes,1,4,6,7,5,7,6,5,6,7,7,6,5,5,6,4,5,7,7,3.25
1-2 years,Sometimes,1,2,4,5,2,7,7,6,6,6,7,4,4,5,2,2,2,5,5,3
More than 2 years,Always,5,5,6,6,4,6,5,3,4,2,2,5,5,5,5,5,5,4,3,3.49
1-2 years,Always,7,7,7,1,7,7,1,1,1,1,1,7,7,7,7,7,7,7,7,3.5
1-2 years,Often,6,1,2,2,2,3,6,2,4,2,1,6,6,1,1,5,6,1,6,3.6
1-2 years,Often,3,5,7,7,4,4,5,5,3,1,5,7,6,7,5,7,7,6,5,3.63
6-12 months,Often,4,4,4,5,5,6,4,5,4,5,5,5,3,5,4,4,3,3,4,3.75
More than 2 years,Sometimes,4,5,6,5,4,5,6,5,4,5,6,5,4,6,5,4,6,5,4,3.6
1-2 years,Always,4,2,6,6,5,5,4,5,4,5,4,7,6,6,6,6,6,6,6,3.35
More than 2 years,Often,4,3,7,7,5,6,7,6,5,3,4,6,6,7,5,7,6,6,7,3.54
1-2 years,Always,4,6,7,6,7,1,1,1,4,4,7,7,7,6,7,7,7,7,7,2.7
1-2 years,Always,4,4,7,4,5,7,7,5,7,7,5,7,7,7,6,4,4,1,7,3.65
More than 2 years,Often,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,3.11
1-2 years,Sometimes,4,4,3,4,1,6,5,5,6,2,4,6,1,2,3,7,3,5,5,3.37
More than 2 years,Often,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.6
More than 2 years,Often,6,4,5,6,6,2,4,5,5,4,4,7,6,6,6,6,6,6,6,2.88
More than 2 years,Sometimes,4,4,7,7,4,3,3,5,5,4,4,6,6,5,5,6,5,3,5,3.29
1-2 years,Always,6,6,7,7,2,4,1,6,5,4,3,7,7,7,5,6,4,6,6,3.86
More than 2 years,Often,7,5,6,6,5,6,5,6,7,5,6,6,7,6,5,6,6,5,6,3.75
More than 2 years,Never,1,2,2,3,3,3,3,3,2,4,5,5,1,7,5,5,7,7,6,3.48
More than 2 years,Often,5,4,5,6,5,6,6,6,7,7,4,6,5,7,5,7,6,6,6,3.3
1-2 years,Always,4,4,7,4,5,7,7,4,7,7,5,7,7,7,6,4,4,1,7,3.65
6-12 months,Sometimes,2,2,2,2,2,3,3,2,7,7,6,1,2,3,3,3,3,1,2,2.5
More than 2 years,Often,6,4,7,7,5,5,6,6,4,5,5,7,5,7,6,7,7,7,7,3.3
More than 2 years,Often,5,5,4,2,6,7,6,6,4,4,4,6,5,6,5,6,6,6,6,3.25
More than 2 years,Always,4,4,4,4,4,7,6,6,4,6,6,6,6,6,5,6,6,6,7,2.8
More than 2 years,Often,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3.11
1-2 years,Always,3,1,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3.55
More than 2 years,Always,4,4,5,2,3,3,3,5,5,3,4,4,5,4,4,3,4,4,4,3.25
6-12 months,Sometimes,5,1,2,3,4,6,4,3,4,3,5,5,4,5,3,5,7,3,5,2.9
More than 2 years,Often,6,4,7,7,5,5,6,6,4,5,5,6,5,7,6,7,7,7,7,3.3
More than 2 years,Often,4,3,2,7,3,6,7,6,,5,2,6,5,6,5,6,4,1,5,3.57
6-12 months,Often,3,3,6,7,6,7,7,7,5,6,5,7,7,7,7,7,5,5,5,3.13
More than 2 years,Often,5,5,6,6,5,6,6,6,5,4,4,7,6,5,5,7,6,6,6,3.75
More than 2 years,Always,4,3,4,5,5,2,4,3,3,3,5,6,5,6,3,4,3,3,4,3
More than 2 years,Often,5,3,6,4,5,4,4,5,5,4,5,5,5,5,5,5,5,5,6,3.4
More than 2 years,Always,4,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2.65
1-2 years,Always,5,5,5,2,6,7,7,6,3,4,4,7,3,4,3,5,3,3,3,3
More than 2 years,Always,5,3,7,4,7,6,5,7,2,2,2,6,1,3,4,6,4,3,6,3.7
More than 2 years,Sometimes,5,4,5,5,5,5,5,7,4,5,5,5,5,5,6,5,5,6,5,3.6
More than 2 years,Often,4,3,2,3,7,5,4,4,3,2,3,3,4,4,4,3,3,4,4,3.7
More than 2 years,Often,6,4,7,3,5,6,5,2,2,1,1,6,6,5,4,5,5,7,6,2.9
More than 2 years,Often,1,3,7,7,1,7,6,2,1,1,1,6,1,6,3,6,4,2,1,3.38
More than 2 years,Often,7,6,7,3,7,1,1,7,4,1,1,7,1,7,7,7,7,7,7,3.7
More than 2 years,Always,5,4,4,3,4,3,4,4,3,5,3,4,3,4,4,3,4,4,4,3.46
More than 2 years,Always,7,7,6,7,1,7,7,4,6,7,2,7,1,2,6,7,7,2,1,2.95
More than 2 years,Always,2,4,1,6,1,5,1,3,1,1,1,6,7,7,4,7,7,2,2,3.44
More than 2 years,Often,6,4,5,6,6,3,4,5,5,4,4,7,6,6,6,6,6,6,6,3
More than 2 years,Always,5,5,6,6,4,6,5,3,4,2,2,5,5,5,5,4,5,4,3,3.49
More than 2 years,Often,5,3,7,7,5,7,6,6,4,4,4,7,2,7,4,6,6,2,6,3.43
1-2 years,Always,7,6,5,6,3,6,7,7,3,7,7,7,3,6,5,7,3,3,7,3.02
1-2 years,Often,4,5,4,4,2,6,5,5,6,6,5,6,6,6,5,6,6,5,6,3.6
Less than 6 months,Often,5,3,1,1,3,3,4,5,4,2,2,4,4,5,3,4,4,2,5,3.44
More than 2 years,Often,6,5,5,5,3,2,1,3,2,2,2,7,7,7,6,7,7,2,3,3.85
More than 2 years,Often,4,4,5,4,4,6,5,6,4,3,4,4,4,5,3,5,4,6,4,3.44
More than 2 years,Often,3,3,6,5,4,6,6,6,7,5,5,3,4,3,6,6,5,5,5,3.33
1-2 years,Often,1,7,7,7,1,7,4,6,5,6,7,7,5,7,6,7,6,1,6,3.92
1-2 years,Always,4,4,4,7,1,7,6,7,6,6,6,6,5,6,5,6,5,6,6,3.6
More than 2 years,Always,6,6,3,6,6,7,7,3,2,3,2,7,5,7,6,7,7,1,2,3.8
1-2 years,Sometimes,5,6,3,2,4,5,4,5,3,4,3,4,5,3,4,4,3,3,4,3.88
More than 2 years,Sometimes,3,7,6,5,6,7,4,5,7,6,7,7,6,5,4,7,6,5,7,3.15
1-2 years,Always,5,4,7,7,3,7,7,7,5,4,5,5,5,4,5,4,5,4,5,3.53
More than 2 years,Always,4,6,7,7,5,7,4,4,4,7,4,7,7,7,6,7,7,5,7,2.78
More than 2 years,Often,4,4,4,6,2,7,6,5,4,4,4,4,4,4,4,3,4,4,4,3.66
More than 2 years,Always,5,4,7,3,6,7,7,7,6,6,6,7,7,6,4,7,5,5,5,3.5
More than 2 years,Sometimes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.65
1-2 years,Always,4,6,5,4,7,4,3,4,3,4,3,6,4,5,4,5,5,4,5,3
1-2 years,Often,4,5,6,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5,3.3
More than 2 years,Always,5,7,6,5,6,4,4,5,5,5,6,6,6,7,6,6,6,5,5,3
6-12 months,Rarely,1,1,2,5,1,7,7,7,7,7,7,5,1,2,2,3,1,4,5,3
More than 2 years,Often,2,3,6,5,4,6,6,6,7,5,5,3,4,3,6,6,5,5,5,3.33
1-2 years,Often,4,2,3,4,2,4,3,3,3,3,4,5,5,3,3,5,4,2,3,3.18
More than 2 years,Always,4,5,5,5,2,6,5,4,6,4,5,6,5,5,5,5,6,5,5,3.86
Less than 6 months,Sometimes,3,2,5,4,3,7,5,7,6,5,5,7,6,5,5,5,5,6,5,3.5
1-2 years,Often,2,6,1,7,3,6,5,7,5,5,6,6,2,5,2,5,2,5,6,3.74
More than 2 years,Always,5,5,7,6,7,7,5,5,3,3,4,6,7,7,6,7,6,5,5,3.51
More than 2 years,Sometimes,4,5,5,5,6,5,5,5,5,4,5,5,4,5,5,5,5,6,4,3
1-2 years,Sometimes,2,2,7,4,3,7,5,7,6,5,5,4,5,5,7,6,6,4,4,3
1-2 years,Always,5,4,7,6,5,7,6,6,6,6,6,6,5,5,4,3,3,5,6,4
6-12 months,Always,3,3,3,2,5,7,7,6,2,2,2,6,5,5,6,6,6,6,6,2.4
1-2 years,Often,4,4,5,6,6,1,1,1,3,1,1,7,4,5,4,5,4,5,5,3.6
Less than 6 months,Sometimes,3,3,4,5,5,7,7,4,6,5,6,6,5,5,5,6,5,5,6,3.39
More than 2 years,Sometimes,3,3,2,7,5,5,6,5,6,5,6,6,5,5,5,5,4,6,6,3.4
More than 2 years,Always,4,2,4,4,4,1,7,5,1,5,3,7,2,3,2,7,6,7,7,3.15
1-2 years,Sometimes,3,4,6,7,6,6,5,4,3,5,4,6,4,4,5,4,4,3,5,3.5
1-2 years,Always,4,4,7,4,5,7,7,5,7,7,5,7,7,7,6,4,4,1,7,3.65
Less than 6 months,Always,5,4,7,7,7,7,4,7,7,7,1,7,7,7,4,7,7,7,7,4
1-2 years,Often,3,6,2,4,6,7,6,7,5,5,4,6,1,4,3,6,4,7,5,3.51
1-2 years,Often,5,4,6,6,5,5,4,4,5,4,4,4,4,4,4,6,5,4,4,3.43
More than 2 years,Always,4,4,4,4,5,4,3,5,4,5,3,3,4,5,4,3,5,4,3,3.6
1-2 years,Often,6,5,7,5,6,5,1,5,4,2,5,7,5,4,5,5,4,5,6,3.57
More than 2 years,Always,5,5,6,6,4,6,5,3,4,2,2,5,5,5,5,5,4,4,3,3.49
More than 2 years,Always,5,5,7,6,7,7,5,5,3,3,4,6,7,7,6,7,6,5,5,3.51
More than 2 years,Always,6,7,7,3,1,5,2,4,1,1,2,7,7,5,5,7,7,6,6,3.4
1-2 years,Always,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,2.9
1-2 years,Always,2,3,3,4,1,5,5,6,3,3,3,3,2,2,4,6,3,2,2,3
More than 2 years,Often,4,4,5,4,4,6,5,6,4,3,4,4,4,5,3,5,4,6,4,3.44
1-2 years,Often,5,6,4,4,6,6,6,6,4,4,4,5,5,4,6,5,4,5,6,3.86
